Click_Order,Point_ID,Type,X_m,Y_m,Z_m
1,P01,Ground,-2.7,0.75,0.0
2,P02,Ground,-1.35,0.75,0.0
3,P03,Ground,0.0,0.75,0.0
4,P04,Ground,1.35,0.75,0.0
5,P05,Ground,2.7,0.75,0.0
6,P06,Ground,-2.7,2.15,0.0
7,P07,Ground,-1.35,2.15,0.0
8,P08,Ground,0.0,2.15,0.0
9,P09,Ground,1.35,2.15,0.0
10,P10,Ground,2.7,2.15,0.0
11,P11,Ground,-2.7,3.55,0.0
12,P12,Ground,-1.35,3.55,0.0
13,P13,Ground,0.0,3.55,0.0
14,P14,Ground,1.35,3.55,0.0
15,P15,Ground,2.7,3.55,0.0
16,P16,Ground,-2.7,4.95,0.0
17,P17,Ground,-1.35,4.95,0.0
18,P18,Ground,0.0,4.95,0.0
19,P19,Ground,1.35,4.95,0.0
20,P20,Ground,2.7,4.95,0.0
21,P21,Ground,-2.7,6.35,0.0
22,P22,Ground,-1.35,6.35,0.0
23,P23,Ground,0.0,6.35,0.0
24,P24,Ground,1.35,6.35,0.0
25,P25,Ground,2.7,6.35,0.0
26,P26,Pole_A,-3.45,1.6,0.5
27,P27,Pole_A,-3.45,1.6,1.0
28,P28,Pole_A,-3.45,1.6,1.5
29,P29,Pole_A,-3.45,1.6,2.0
30,P30,Pole_A,-3.45,1.6,2.3
31,P31,Pole_B,3.45,5.1,0.5
32,P32,Pole_B,3.45,5.1,1.0
33,P33,Pole_B,3.45,5.1,1.5
34,P34,Pole_B,3.45,5.1,2.0
35,P35,Pole_B,3.45,5.1,2.3
