Click_Order,Point_ID,Type,X_m,Y_m,Z_m
1,P01,Ground,-2.700000,0.750000,0.000000
2,P02,Ground,-1.350000,0.750000,0.000000
3,P03,Ground,0.000000,0.750000,0.000000
4,P04,Ground,1.350000,0.750000,0.000000
5,P05,Ground,2.700000,0.750000,0.000000
6,P06,Ground,-2.700000,2.150000,0.000000
7,P07,Ground,-1.350000,2.150000,0.000000
8,P08,Ground,0.000000,2.150000,0.000000
9,P09,Ground,1.350000,2.150000,0.000000
10,P10,Ground,2.700000,2.150000,0.000000
11,P11,Ground,-2.700000,3.550000,0.000000
12,P12,Ground,-1.350000,3.550000,0.000000
13,P13,Ground,0.000000,3.550000,0.000000
14,P14,Ground,1.350000,3.550000,0.000000
15,P15,Ground,2.700000,3.550000,0.000000
16,P16,Ground,-2.700000,4.950000,0.000000
17,P17,Ground,-1.350000,4.950000,0.000000
18,P18,Ground,0.000000,4.950000,0.000000
19,P19,Ground,1.350000,4.950000,0.000000
20,P20,Ground,2.700000,4.950000,0.000000
21,P21,Ground,-2.700000,6.350000,0.000000
22,P22,Ground,-1.350000,6.350000,0.000000
23,P23,Ground,0.000000,6.350000,0.000000
24,P24,Ground,1.350000,6.350000,0.000000
25,P25,Ground,2.700000,6.350000,0.000000
26,P26,Pole_A,-3.450000,1.600000,0.500000
27,P27,Pole_A,-3.450000,1.600000,1.000000
28,P28,Pole_A,-3.450000,1.600000,1.500000
29,P29,Pole_A,-3.450000,1.600000,2.000000
30,P30,Pole_A,-3.450000,1.600000,2.300000
31,P31,Pole_B,3.450000,5.100000,0.500000
32,P32,Pole_B,3.450000,5.100000,1.000000
33,P33,Pole_B,3.450000,5.100000,1.500000
34,P34,Pole_B,3.450000,5.100000,2.000000
35,P35,Pole_B,3.450000,5.100000,2.300000
